timestamp,seq,mode,event,track_id,meas_idx,meas_az,meas_el,pred_az,map_az,pred_el,cost,dynamic_thresh,uncertainty,p_az,p_el,hit_streak,time_since_update,reason,master_id,is_master,laser_track_id,distance,distance_source,track_laser_dist,track_laser_ts,track_laser_age
1780296834.596765,,,NEW_TRACK,1,0,337.717305,5.196250,,,,,,,1.000000,1.000000,1,0,,,,,,,,,
1780296835.421859,,no_packet,TRACK_DELETE,1,,,,337.717305,,5.196250,,,,8.884721,8.884721,1,12,,,,,,,,,
1780296836.230370,,,NEW_TRACK,2,0,337.699076,5.223750,,,,,,,1.000000,1.000000,1,0,,,,,,,,,
1780296836.491422,,,MATCH_ACCEPT,2,0,337.753764,5.242083,337.699076,,5.223750,0.057679,6.918436,1.945624,1.892727,1.892727,1,4,,,,,,,,,
1780296836.996565,,,MATCH_ACCEPT,2,0,337.762878,5.150417,337.720899,,5.240991,0.099830,9.057620,3.371747,6.563901,4.804774,2,8,,,,,,,,,
1780296836.996565,,,TargetAcquire,2,,,,,,,,,,,,,,initial_acquire,,,,,,,,
1780296836.996565,,,UI_STATUS_SEND,2,,,,337.742403,157.742403,5.172643,,,,,,3,0,,2,1,-1,26.430000,mono,,,
1780296837.549782,,,MATCH_ACCEPT,2,0,338.173034,3.289583,337.765768,,5.133844,1.888694,9.777329,3.851553,9.994255,4.840202,3,9,,,,,,,,,
1780296837.549782,,,UI_STATUS_SEND,2,,,,338.016338,158.016338,3.739652,,,,,,4,0,,2,1,-1,26.430000,mono,,,
1780296838.382637,,no_packet,TRACK_DELETE,2,,,,338.218766,,2.602645,,,,13.602396,6.468184,4,12,,,,,,,,,
1780296840.889192,,,NEW_TRACK,3,0,337.699076,5.228333,,,,,,,1.000000,1.000000,1,0,,,,,,,,,
1780296840.889192,,,TargetLost,2,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,
1780296841.712590,,no_packet,TRACK_DELETE,3,,,,337.699076,,5.228333,,,,8.855303,8.855303,1,12,,,,,,,,,
1780296842.774991,,,NEW_TRACK,4,0,337.740092,5.214583,,,,,,,1.000000,1.000000,1,0,,,,,,,,,
1780296842.774991,,,TargetLost,2,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,
1780296843.600364,,no_packet,TRACK_DELETE,4,,,,337.740092,,5.214583,,,,8.887073,8.887073,1,12,,,,,,,,,
1780296845.348998,,,NEW_TRACK,5,0,337.689961,5.232917,,,,,,,1.000000,1.000000,1,0,,,,,,,,,
1780296845.348998,,,TargetLost,2,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,
1780296845.678725,,,MATCH_ACCEPT,5,0,337.717305,5.232917,337.689961,,5.232917,0.027344,7.260090,2.173393,2.361819,2.361819,1,5,,,,,,,,,
1780296845.678725,,,TargetLost,2,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,
1780296846.023964,,,MATCH_ACCEPT,5,0,337.699076,5.187083,337.701213,,5.232917,0.045883,8.235097,2.823398,4.856647,3.114929,2,5,,,,,,,,,
1780296846.023964,,,TargetLost,2,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,
1780296846.023964,,,TargetSwitch,5,,,,,,,,,,,,,,master_lost,,,,,,,,
1780296846.023964,,,UI_STATUS_SEND,5,,,,337.700279,157.700279,5.202394,,,,,,3,0,,5,1,-1,26.430000,mono,,,
1780296846.378904,,,MATCH_ACCEPT,5,1,337.694519,5.223750,337.703730,,5.187553,0.037351,8.600980,3.067320,6.379679,3.028773,3,6,,,,,,,,,
1780296846.378904,,,NEW_TRACK,6,0,338.163920,4.866250,,,,,,,1.000000,1.000000,1,0,,,,,,,,,
1780296846.378904,,,UI_STATUS_SEND,5,,,,337.699077,157.699077,5.211431,,,,,,4,0,,5,1,-1,26.430000,mono,,,
1780296847.215208,,no_packet,TRACK_DELETE,5,,,,337.703464,,5.198818,,,,13.290990,6.718469,4,12,,,,,,,,,
1780296847.215208,,no_packet,TRACK_DELETE,6,,,,338.163920,,4.866250,,,,9.082073,9.082073,1,12,,,,,,,,,
1780296847.787647,,,NEW_TRACK,7,0,337.776550,5.205417,,,,,,,1.000000,1.000000,1,0,,,,,,,,,
1780296847.787647,,,TargetLost,5,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,
1780296848.614630,,no_packet,TRACK_DELETE,7,,,,337.776550,,5.205417,,,,8.914809,8.914809,1,12,,,,,,,,,
1780296851.972284,,,NEW_TRACK,8,0,336.988139,7.410000,,,,,,,1.000000,1.000000,1,0,,,,,,,,,
1780296851.972284,,,TargetLost,5,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,
1780296852.795441,,no_packet,TRACK_DELETE,8,,,,336.988139,,7.410000,,,,8.851495,8.851495,1,12,,,,,,,,,
1780296853.233578,,,NEW_TRACK,9,0,41.547858,10.501458,,,,,,,1.000000,1.000000,1,0,,,,,,,,,
1780296853.233578,,,TargetLost,5,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,
1780296853.424411,,,MATCH_REJECT,9,0,337.699076,5.205417,41.547858,,10.501458,64.068050,6.613314,1.742209,1.517647,1.517647,1,3,,,,,,,,,
1780296853.424411,,,NEW_TRACK,10,0,337.699076,5.205417,,,,,,,1.000000,1.000000,1,0,,,,,,,,,
1780296853.424411,,,TargetLost,5,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,
1780296853.471596,,,MATCH_ACCEPT,9,0,35.427415,7.870625,41.547858,,10.501458,6.661914,6.825906,1.883937,1.774610,1.774610,0,4,,,,,,,,,
1780296853.471596,,,TargetLost,5,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,
1780296853.667193,,,MATCH_ACCEPT,10,0,337.689961,5.177917,337.699076,,5.205417,0.028971,6.846815,1.897877,1.800968,1.800968,0,4,,,,,,,,,
1780296853.667193,,,TargetLost,5,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,
1780296853.951839,,,MATCH_ACCEPT,9,0,33.148769,6.449792,39.299443,,8.177435,6.388704,7.264268,3.242379,6.017103,4.495918,0,8,,,,,,,,,
1780296853.951839,,,TargetLost,5,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,
1780296854.044176,,,MATCH_ACCEPT,10,0,337.712748,5.210000,337.695969,,5.182974,0.031811,8.255838,2.837226,4.677045,3.372804,0,7,,,,,,,,,
1780296854.044176,,,TargetLost,5,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,
1780296854.377416,,,MATCH_ACCEPT,9,0,30.537441,4.978542,31.659519,,4.963260,1.122182,6.260641,2.573294,4.505288,2.116556,0,7,,,,,,,,,
1780296854.377416,,,TargetLost,5,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,
1780296854.859748,,no_packet,TRACK_DELETE,10,,,,337.708235,,5.205810,,,,14.728789,8.450537,0,12,,,,,,,,,
1780296855.203211,,no_packet,TRACK_DELETE,9,,,,24.317202,,1.756531,,,,7.514315,4.304208,1,12,,,,,,,,,
1780296856.843273,,,NEW_TRACK,11,0,337.689961,5.232917,,,,,,,1.000000,1.000000,1,0,,,,,,,,,
1780296856.843273,,,TargetLost,5,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,
1780296857.284463,,,MATCH_ACCEPT,11,0,337.744649,5.177917,337.689961,,5.232917,0.077561,7.888892,2.592594,3.360773,3.360773,1,7,,,,,,,,,
1780296857.284463,,,TargetLost,5,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,
1780296858.126215,,no_packet,TRACK_DELETE,11,,,,337.731364,,5.151633,,,,14.858909,9.614290,2,12,,,,,,,,,
1780296858.304501,,,NEW_TRACK,12,0,337.708191,5.205417,,,,,,,1.000000,1.000000,1,0,,,,,,,,,
1780296858.304501,,,TargetLost,5,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,
1780296859.140934,,no_packet,TRACK_DELETE,12,,,,337.708191,,5.205417,,,,9.087195,9.087195,1,12,,,,,,,,,
1780296861.134866,,,NEW_TRACK,13,0,337.699076,5.168750,,,,,,,1.000000,1.000000,1,0,,,,,,,,,
1780296861.134866,,,TargetLost,5,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,
1780296861.509563,,,MATCH_ACCEPT,13,0,337.699076,5.196250,337.699076,,5.168750,0.027500,7.512076,2.341384,2.741040,2.741040,1,6,,,,,,,,,
1780296861.509563,,,TargetLost,5,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,
1780296862.344426,,no_packet,TRACK_DELETE,13,,,,337.699076,,5.207138,,,,14.156554,9.784579,2,12,,,,,,,,,
1780296866.077893,,,NEW_TRACK,14,0,337.863139,5.310833,,,,,,,1.000000,1.000000,1,0,,,,,,,,,
1780296866.077893,,,NEW_TRACK,15,1,338.300639,4.284167,,,,,,,1.000000,1.000000,1,0,,,,,,,,,
1780296866.077893,,,TargetLost,5,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,
1780296866.907360,,no_packet,TRACK_DELETE,14,,,,337.863139,,5.310833,,,,8.966372,8.966372,1,12,,,,,,,,,
1780296866.907360,,no_packet,TRACK_DELETE,15,,,,338.300639,,4.284167,,,,8.966372,8.966372,1,12,,,,,,,,,
1780296867.625823,,,NEW_TRACK,16,0,338.291524,5.342917,,,,,,,1.000000,1.000000,1,0,,,,,,,,,
1780296867.625823,,,TargetLost,5,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,
1780296868.467443,,no_packet,TRACK_DELETE,16,,,,338.291524,,5.342917,,,,9.178242,9.178242,1,12,,,,,,,,,
1780296869.379409,,,NEW_TRACK,17,0,337.835795,5.260417,,,,,,,1.000000,1.000000,1,0,,,,,,,,,
1780296869.379409,,,TargetLost,5,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,
1780296870.214707,,no_packet,TRACK_DELETE,17,,,,337.835795,,5.260417,,,,9.068292,9.068292,1,12,,,,,,,,,
1780296872.875337,,,NEW_TRACK,18,0,337.854024,5.196250,,,,,,,1.000000,1.000000,1,0,,,,,,,,,
1780296872.875337,,,TargetLost,5,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,
1780296873.713039,,no_packet,TRACK_DELETE,18,,,,337.854024,,5.196250,,,,9.111278,9.111278,1,12,,,,,,,,,
1780296875.289057,,,NEW_TRACK,19,0,338.264180,3.326250,,,,,,,1.000000,1.000000,1,0,,,,,,,,,
