timestamp,event,cmd_id,track_id,cmd_az,cmd_el,gimbal_ui_az,gimbal_ui_el,gimbal_ctrl_az,gimbal_ctrl_el,target_ctrl_az,target_ctrl_el,err_az,err_el,is_settled,settle_time,laser_valid,laser_dist,laser_source,laser_ts,laser_age,laser_interval
1780299570.864342,GIMBAL_CMD_SEND,0,-1,,,,,,,59.300000,0.000000,,,,,,,,,,
1780299570.906066,GIMBAL_ATT,0,-1,,,339.000000,4.800000,38.300000,4.800000,59.300000,0.000000,21.000000,4.800000,,,,,,,,
1780299571.211884,GIMBAL_ATT,0,-1,,,344.200000,3.600000,43.500000,3.600000,59.300000,0.000000,15.800000,3.600000,,,,,,,,
1780299571.524182,GIMBAL_ATT,0,-1,,,344.200000,1.000000,43.500000,1.000000,59.300000,0.000000,15.800000,1.000000,,,,,,,,
1780299571.734639,GIMBAL_ATT,0,-1,,,344.200000,1.000000,43.500000,1.000000,59.300000,0.000000,15.800000,1.000000,,,,,,,,
1780299572.269720,GIMBAL_ATT,0,-1,,,359.900000,-0.000000,59.200000,-0.000000,59.300000,0.000000,0.100000,0.000000,,,,,,,,
1780299572.269720,GIMBAL_SETTLED,0,-1,,,359.900000,-0.000000,59.200000,-0.000000,59.300000,0.000000,0.100000,0.000000,1,1.405378,,,,,,
1780299572.562911,LASER_TRIGGER,0,-1,,,359.900000,-0.000000,59.200000,-0.000000,59.300000,0.000000,0.100000,0.000000,1,1.405378,0,,sddm,,,
1780299572.835011,GIMBAL_CMD,1,1,36.019752,4.511041,359.900000,-0.000000,,,36.019752,4.511041,,,,,,,,,,
1780299572.956672,GIMBAL_CMD_SEND,1,1,,,,,,,36.019752,4.511041,,,,,,,,,,
1780299573.052328,GIMBAL_CMD,2,1,36.940306,3.437012,359.900000,-0.000000,,,36.940306,3.437012,,,,,,,,,,
1780299572.998164,GIMBAL_ATT,1,1,,,358.900000,0.100000,58.200000,0.100000,36.019752,4.511041,22.180248,4.411041,,,,,,,,
1780299573.305752,GIMBAL_CMD_PREEMPT,2,1,,,,,,,36.940306,3.437012,0.920554,1.074028,,,,,,,,
