timestamp,seq,mode,board,cam,meas_idx,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_cx,bbox_cy,bbox_w,bbox_h,mono_dist,meas_az,meas_el
1780313177.107703,,,BOARD_2,0,0,1389.000,1485.000,1428.000,1536.000,1408.500,1510.500,39.000,51.000,159.930000,31.977545,7.526875
1780313177.455006,,,BOARD_2,0,0,1844.000,1302.000,1883.000,1353.000,1863.500,1327.500,39.000,51.000,159.930000,34.051113,8.365625
1780313177.786092,,,BOARD_2,0,0,2394.000,1093.000,2433.000,1144.000,2413.500,1118.500,39.000,51.000,159.930000,36.557623,9.323542
1780313178.135739,,,BOARD_2,0,0,3022.000,783.000,3141.000,1026.000,3081.500,904.500,119.000,243.000,52.410000,39.601894,10.304375
1780313213.152832,,,BOARD_2,0,0,583.000,1626.000,702.000,1869.000,642.500,1747.500,119.000,243.000,52.410000,28.486660,6.440625
1780313213.828575,,,BOARD_2,0,0,156.000,1536.000,404.000,1716.000,280.000,1626.000,248.000,180.000,25.150000,26.834642,6.997500
1780313214.181800,,,BOARD_2,0,0,971.000,1521.000,1219.000,1701.000,1095.000,1611.000,248.000,180.000,25.150000,30.548834,7.066250
1780313214.502854,,,BOARD_2,0,0,1727.000,1469.000,1975.000,1649.000,1851.000,1559.000,248.000,180.000,25.150000,33.994147,7.304583
1780313214.841171,,,BOARD_2,0,0,2542.000,1389.000,2662.000,1632.000,2602.000,1510.500,120.000,243.000,51.980000,37.416673,7.526875
1780313215.189607,,,BOARD_2,0,0,3238.000,1392.000,3486.000,1572.000,3362.000,1482.000,248.000,180.000,25.150000,40.880215,7.657500
1780313235.224263,,,BOARD_2,0,0,2786.000,2138.000,2850.000,2257.000,2818.000,2197.500,64.000,119.000,97.460000,38.401048,4.378125
1780313316.734287,,,BOARD_2,0,0,204.000,2063.000,323.000,2306.000,263.500,2184.500,119.000,243.000,52.410000,26.759446,4.437708
1780313347.160157,,,BOARD_2,0,0,437.000,258.000,476.000,309.000,456.500,283.500,39.000,51.000,159.930000,27.639004,13.150625
1780313381.793595,,,BOARD_2,0,0,3153.000,1101.000,3272.000,1344.000,3212.500,1222.500,119.000,243.000,52.410000,40.198899,8.846875
1780313382.129083,,,BOARD_2,0,0,1816.000,1405.000,1855.000,1456.000,1835.500,1430.500,39.000,51.000,159.930000,33.923509,7.893542
1780313382.129083,,,BOARD_2,0,1,1936.000,1389.000,1975.000,1440.000,1955.500,1414.500,39.000,51.000,159.930000,34.470384,7.966875
1780313382.129083,,,BOARD_2,0,2,2056.000,1365.000,2095.000,1416.000,2075.500,1390.500,39.000,51.000,159.930000,35.017259,8.076875
1780313382.129083,,,BOARD_2,0,3,2056.000,1375.000,2095.000,1426.000,2075.500,1400.500,39.000,51.000,159.930000,35.017259,8.031042
1780313382.129083,,,BOARD_2,0,4,1936.000,1391.000,1975.000,1442.000,1955.500,1416.500,39.000,51.000,159.930000,34.470384,7.957708
1780313382.469974,,,BOARD_2,0,0,1039.000,1496.000,1078.000,1547.000,1058.500,1521.500,39.000,51.000,159.930000,30.382493,7.476458
1780313382.469974,,,BOARD_2,0,1,935.000,1496.000,974.000,1547.000,954.500,1521.500,39.000,51.000,159.930000,29.908535,7.476458
1780313382.469974,,,BOARD_2,0,2,743.000,1504.000,782.000,1555.000,762.500,1529.500,39.000,51.000,159.930000,29.033535,7.439792
1780313382.799678,,,BOARD_2,0,0,32.000,1511.000,71.000,1562.000,51.500,1536.500,39.000,51.000,159.930000,25.793301,7.407708
1780313382.799678,,,BOARD_2,0,1,200.000,1519.000,239.000,1570.000,219.500,1544.500,39.000,51.000,159.930000,26.558926,7.371042
1780313382.799678,,,BOARD_2,0,2,352.000,1519.000,391.000,1570.000,371.500,1544.500,39.000,51.000,159.930000,27.251634,7.371042
1780313382.799678,,,BOARD_2,0,3,504.000,1511.000,543.000,1562.000,523.500,1536.500,39.000,51.000,159.930000,27.944342,7.407708
1780313382.799678,,,BOARD_2,0,4,1159.000,1495.000,1198.000,1546.000,1178.500,1520.500,39.000,51.000,159.930000,30.929368,7.481042
1780313382.799678,,,BOARD_2,0,5,927.000,1495.000,966.000,1546.000,946.500,1520.500,39.000,51.000,159.930000,29.872077,7.481042
1780313383.143022,,,BOARD_2,0,0,232.000,1519.000,271.000,1570.000,251.500,1544.500,39.000,51.000,159.930000,26.704759,7.371042
1780313426.484268,,,BOARD_2,0,0,460.000,939.000,499.000,990.000,479.500,964.500,39.000,51.000,159.930000,27.743821,10.029375
1780313426.484268,,,BOARD_2,0,1,332.000,763.000,371.000,814.000,351.500,788.500,39.000,51.000,159.930000,27.160488,10.836042
1780313426.484268,,,BOARD_2,0,2,208.000,575.000,327.000,818.000,267.500,696.500,119.000,243.000,52.410000,26.777676,11.257708
1780313426.484268,,,BOARD_2,0,3,176.000,573.000,215.000,624.000,195.500,598.500,39.000,51.000,159.930000,26.449551,11.706875
1780313426.820919,,,BOARD_2,0,0,650.000,1759.000,689.000,1810.000,669.500,1784.500,39.000,51.000,159.930000,28.609707,6.271042
1780313426.820919,,,BOARD_2,0,1,642.000,1455.000,681.000,1506.000,661.500,1480.500,39.000,51.000,159.930000,28.573248,7.664375
1780313426.820919,,,BOARD_2,0,2,593.000,1257.000,656.000,1376.000,624.500,1316.500,63.000,119.000,99.000000,28.404629,8.416042
1780313426.820919,,,BOARD_2,0,3,653.000,1611.000,692.000,1662.000,672.500,1636.500,39.000,51.000,159.930000,28.623379,6.949375
1780313426.820919,,,BOARD_2,0,4,579.000,1203.000,618.000,1254.000,598.500,1228.500,39.000,51.000,159.930000,28.286139,8.819375
