[Log] stdout/stderr -> logs\20260601_193533\main_tracking_v9_20260601_193533.log
[FieldLog] enabled: C:\Users\cv1124\dym\gimbal\logs\20260601_193533
[Config] DEVICE_HEADING_DEG=180.00 (map north=0, east=90, south=180)
[Config] UI_REAL_LASER_ONLY=True
[GPS] Thread started, periodic UI updates enabled on COM8@115200, fix_timeout=5s, ui_interval=10.0s
[Init] Connecting to Gimbal at COM9...
[GT06Z] Driver Ready on COM9.
[Adapter] GT06Z 云台已连接: COM9
[GPS] GGA fix_quality=1, num_sats=12, hdop=1.4, lat=30.408260454166665, lon=104.08874505666667
[LaserThread] 激光读取线程已启动
[Init] Real laser enabled on COM10
[Init] Queue gimbal initial posture: Az=59.30°, El=0.00°
[Laser] start_measurement mode=continuous
[GimbalThread] 控制线程已启动
[Net] Listening RK3588 on 8888...=== System V9.0 (Predictive Tracking & Scheduling) Running ===

[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.20s, meas=1, tracks=1, valid=1, master=1
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.19s, meas=1, tracks=1, valid=1, master=1
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.23s, meas=1, tracks=1, valid=1, master=1
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.23s, meas=1, tracks=1, valid=1, master=1
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.22s, meas=1, tracks=1, valid=1, master=1
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.21s, meas=1, tracks=1, valid=1, master=1
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.20s, meas=1, tracks=1, valid=1, master=1
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.52s, meas=1, tracks=1, valid=1, master=1
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.52s, meas=1, tracks=1, valid=1, master=1
[GPS] GGA fix_quality=1, num_sats=10, hdop=1.4, lat=30.4082584545, lon=104.0887483765
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.17s, meas=1, tracks=1, valid=1, master=1
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.16s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.15s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.15s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.14s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.13s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.79s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.79s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.79s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=3.80s, meas=1, tracks=1, valid=1, master=2
[GPS] GGA fix_quality=1, num_sats=12, hdop=1.4, lat=30.408277722166666, lon=104.08876739666667
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=4.80s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=5.80s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.04s, meas=1, tracks=1, valid=0, master=2
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.07s, meas=1, tracks=1, valid=1, master=3
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.06s, meas=1, tracks=1, valid=1, master=3
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.39s, meas=1, tracks=1, valid=1, master=3
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.39s, meas=1, tracks=1, valid=1, master=3
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.40s, meas=1, tracks=1, valid=1, master=3
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.04s, meas=1, tracks=1, valid=1, master=3
