[Log] stdout/stderr -> logs\20260601_193904\main_tracking_v9_20260601_193904.log
[FieldLog] enabled: C:\Users\cv1124\dym\gimbal\logs\20260601_193904
[Config] DEVICE_HEADING_DEG=180.00 (map north=0, east=90, south=180)
[Config] UI_REAL_LASER_ONLY=True
[GPS] Thread started, periodic UI updates enabled on COM8@115200, fix_timeout=5s, ui_interval=10.0s
[Init] Connecting to Gimbal at COM9...
[GT06Z] Driver Ready on COM9.
[Adapter] GT06Z 云台已连接: COM9
[GPS] GGA fix_quality=1, num_sats=09, hdop=1.7, lat=30.408342406833334, lon=104.08870464883333
[LaserThread] 激光读取线程已启动
[Init] Real laser enabled on COM10
[Init] Queue gimbal initial posture: Az=59.30°, El=0.00°
[Laser] start_measurement mode=continuous
[GimbalThread] 控制线程已启动
[Net] Listening RK3588 on 8888...
=== System V9.0 (Predictive Tracking & Scheduling) Running ===
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.33s, meas=1, tracks=1, valid=0, master=None
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.31s, meas=1, tracks=1, valid=1, master=1
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.30s, meas=1, tracks=1, valid=1, master=1
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.27s, meas=1, tracks=1, valid=1, master=1
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.26s, meas=1, tracks=1, valid=1, master=1
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.24s, meas=1, tracks=1, valid=1, master=1
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.23s, meas=1, tracks=1, valid=1, master=1
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.21s, meas=1, tracks=1, valid=1, master=1
[GPS] GGA fix_quality=1, num_sats=12, hdop=1.1, lat=30.408349275166668, lon=104.08868940466667
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.20s, meas=1, tracks=1, valid=1, master=1
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.19s, meas=1, tracks=1, valid=1, master=1
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.18s, meas=1, tracks=1, valid=1, master=1
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.18s, meas=1, tracks=1, valid=1, master=1
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.49s, meas=1, tracks=2, valid=0, master=1
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.49s, meas=1, tracks=2, valid=0, master=1
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.48s, meas=1, tracks=2, valid=0, master=1
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.80s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.80s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.10s, meas=1, tracks=1, valid=1, master=2
[GPS] GGA fix_quality=1, num_sats=09, hdop=1.7, lat=30.408349858166666, lon=104.08868836633333
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.10s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.08s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.07s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.06s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.04s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=4.0/s, objs=4.0/s, last_udp=0.06s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.10s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.43s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.08s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.06s, meas=1, tracks=1, valid=1, master=2
[GPS] GGA fix_quality=1, num_sats=08, hdop=1.6, lat=30.408352080833332, lon=104.08868766033333
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.38s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=4.0/s, objs=4.0/s, last_udp=0.02s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.01s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.34s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.31s, meas=1, tracks=1, valid=1, master=2
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.29s, meas=1, tracks=1, valid=1, master=2
