[Log] stdout/stderr -> logs\20260602_110340\main_tracking_v9_20260602_110340.log
[FieldLog] enabled: C:\Users\cv1124\dym\gimbal\logs\20260602_110340
[Config] DEVICE_HEADING_DEG=180.00 (map north=0, east=90, south=180)
[Config] UI_REAL_LASER_ONLY=True
[GPS] Thread started, periodic UI updates enabled on COM12@115200, fix_timeout=5s, ui_interval=10.0s
[Init] Connecting to Gimbal at COM14...
[GT06Z] Driver Ready on COM14.
[Adapter] GT06Z 云台已连接: COM14
[GPS] GGA fix_quality=1, num_sats=23, hdop=0.6, lat=30.4081127305, lon=104.0886426905
[LaserThread] 激光读取线程已启动
[Init] Real laser enabled on COM15
[Init] UI distance priority: laser -> mono; UDP distance disabled
[Laser] start_measurement mode=continuous
[Init] Queue gimbal initial posture: Az=59.30°, El=0.00°
[GimbalThread] 控制线程已启动
[Net] Listening RK3588 on 8888...
=== System V9.0 (Predictive Tracking & Scheduling) Running ===
[LIVE] udp=6.0/s, objs=6.0/s, last_udp=0.02s, meas=2, tracks=2, valid=1, master=1
[LIVE] udp=5.0/s, objs=5.0/s, last_udp=0.11s, meas=2, tracks=3, valid=0, master=1
[LIVE] udp=5.0/s, objs=5.0/s, last_udp=0.18s, meas=2, tracks=3, valid=2, master=3
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=1.00s, meas=1, tracks=3, valid=1, master=3
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.00s, meas=1, tracks=3, valid=1, master=3
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.48s, meas=1, tracks=3, valid=1, master=2
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.45s, meas=1, tracks=3, valid=1, master=2
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.45s, meas=1, tracks=3, valid=1, master=2
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.26s, meas=1, tracks=3, valid=1, master=2
[GPS] GGA fix_quality=1, num_sats=25, hdop=0.6, lat=30.408112844166666, lon=104.08864270616667
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.31s, meas=1, tracks=3, valid=1, master=2
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.31s, meas=1, tracks=3, valid=1, master=2
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.40s, meas=1, tracks=5, valid=0, master=2
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.41s, meas=1, tracks=5, valid=0, master=2
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.41s, meas=1, tracks=5, valid=0, master=2
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=3.42s, meas=1, tracks=5, valid=0, master=2
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.12s, meas=1, tracks=3, valid=1, master=2
[LIVE] udp=1.0/s, objs=2.0/s, last_udp=0.80s, meas=2, tracks=3, valid=0, master=2
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.18s, meas=1, tracks=3, valid=1, master=2
[LIVE] udp=5.0/s, objs=5.0/s, last_udp=0.01s, meas=1, tracks=4, valid=1, master=2
[GPS] GGA fix_quality=1, num_sats=24, hdop=0.6, lat=30.408110318, lon=104.0886492195
[LIVE] udp=4.0/s, objs=4.0/s, last_udp=0.10s, meas=2, tracks=5, valid=1, master=2
[LIVE] udp=6.0/s, objs=6.0/s, last_udp=0.04s, meas=2, tracks=6, valid=1, master=2
[LIVE] udp=5.0/s, objs=5.0/s, last_udp=0.05s, meas=2, tracks=7, valid=1, master=2
[LIVE] udp=5.0/s, objs=5.0/s, last_udp=0.11s, meas=1, tracks=8, valid=1, master=2
[LIVE] udp=6.0/s, objs=6.0/s, last_udp=0.09s, meas=1, tracks=9, valid=1, master=2
[LIVE] udp=4.0/s, objs=4.0/s, last_udp=0.22s, meas=2, tracks=9, valid=1, master=2
[LIVE] udp=4.0/s, objs=4.0/s, last_udp=0.01s, meas=1, tracks=9, valid=1, master=2
[LIVE] udp=4.0/s, objs=4.0/s, last_udp=0.28s, meas=2, tracks=9, valid=1, master=2
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.43s, meas=1, tracks=9, valid=1, master=2
[LIVE] udp=6.0/s, objs=6.0/s, last_udp=0.05s, meas=1, tracks=9, valid=1, master=2
[GPS] GGA fix_quality=1, num_sats=26, hdop=0.6, lat=30.408102917, lon=104.08864717083334
[LIVE] udp=4.0/s, objs=4.0/s, last_udp=0.09s, meas=2, tracks=7, valid=1, master=2
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.13s, meas=1, tracks=7, valid=1, master=2
[LIVE] udp=5.0/s, objs=5.0/s, last_udp=0.24s, meas=1, tracks=6, valid=1, master=2
[LIVE] udp=7.0/s, objs=9.0/s, last_udp=0.11s, meas=3, tracks=9, valid=1, master=2
[LIVE] udp=4.0/s, objs=4.0/s, last_udp=0.10s, meas=1, tracks=9, valid=1, master=2
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.20s, meas=1, tracks=9, valid=0, master=2
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.33s, meas=1, tracks=8, valid=1, master=13
[LIVE] udp=4.0/s, objs=4.0/s, last_udp=0.08s, meas=1, tracks=8, valid=1, master=2
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.14s, meas=2, tracks=7, valid=1, master=2
[GPS] GGA fix_quality=1, num_sats=25, hdop=0.6, lat=30.408110157, lon=104.0886389675
[LIVE] udp=4.0/s, objs=4.0/s, last_udp=0.01s, meas=1, tracks=7, valid=1, master=2
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.45s, meas=2, tracks=8, valid=1, master=2
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.27s, meas=0, tracks=7, valid=0, master=2
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.87s, meas=1, tracks=7, valid=0, master=2
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.87s, meas=1, tracks=7, valid=0, master=2
[LIVE] udp=2.0/s, objs=3.0/s, last_udp=0.28s, meas=1, tracks=7, valid=0, master=2
[LIVE] udp=4.0/s, objs=4.0/s, last_udp=0.23s, meas=1, tracks=7, valid=1, master=12
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.46s, meas=1, tracks=9, valid=0, master=12
[LIVE] udp=4.0/s, objs=4.0/s, last_udp=0.05s, meas=2, tracks=9, valid=1, master=2
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.47s, meas=1, tracks=9, valid=1, master=13
[GPS] GGA fix_quality=1, num_sats=26, hdop=0.6, lat=30.408109716666665, lon=104.08863558133334
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.47s, meas=1, tracks=9, valid=1, master=13
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.47s, meas=1, tracks=9, valid=1, master=13
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=3.47s, meas=1, tracks=9, valid=1, master=13
[LIVE] udp=3.0/s, objs=4.0/s, last_udp=0.27s, meas=2, tracks=9, valid=0, master=13
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.28s, meas=2, tracks=9, valid=0, master=13
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.28s, meas=2, tracks=9, valid=0, master=13
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=3.28s, meas=2, tracks=9, valid=0, master=13
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.21s, meas=1, tracks=6, valid=0, master=13
[LIVE] udp=3.0/s, objs=4.0/s, last_udp=0.55s, meas=1, tracks=5, valid=0, master=16
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.56s, meas=1, tracks=5, valid=0, master=16
[GPS] GGA fix_quality=1, num_sats=28, hdop=0.5, lat=30.408110846666666, lon=104.08863282416667
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.56s, meas=1, tracks=5, valid=0, master=16
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=3.56s, meas=1, tracks=5, valid=0, master=16
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=4.57s, meas=1, tracks=5, valid=0, master=16
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=5.57s, meas=1, tracks=5, valid=0, master=16
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.04s, meas=2, tracks=5, valid=0, master=16
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.04s, meas=1, tracks=5, valid=0, master=16
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.15s, meas=1, tracks=5, valid=0, master=16
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.77s, meas=1, tracks=5, valid=0, master=16
