timestamp,seq,mode,event,track_id,meas_idx,meas_az,meas_el,pred_az,map_az,pred_el,cost,dynamic_thresh,uncertainty,p_az,p_el,hit_streak,time_since_update,reason,internal_track_id,ui_id,master_id,is_master,laser_track_id,distance,distance_source,track_laser_dist,track_laser_ts,track_laser_age,raw_bbox_x1,raw_bbox_y1,raw_bbox_x2,raw_bbox_y2,clipped_bbox_x1,clipped_bbox_y1,clipped_bbox_x2,clipped_bbox_y2,is_edge_bbox,visible_ratio
1780369933.728789,,,NEW_TRACK,1,0,335.849948,36.553958,,,,,,,1.000000,1.000000,1,0,,,,,,,,,,,,,,,,,,,,,
1780369934.032048,,,MATCH_REJECT,1,0,39.479188,17.116250,335.849948,,36.553958,66.531982,5.765451,1.830301,1.675000,1.675000,1,1,,,,,,,,,,,,,,,,,,,,,
1780369934.032048,,,NEW_TRACK,2,0,39.479188,17.116250,,,,,,,1.000000,1.000000,1,0,,,,,,,,,,,,,,,,,,,,,
1780369934.395433,,,MATCH_ACCEPT,2,0,37.774760,16.864167,39.479188,,17.116250,1.722968,5.796251,1.830301,1.675000,1.675000,1,1,,,,,,,,,,,,,,,,,,,,,
1780369934.638489,,,MATCH_ACCEPT,2,0,35.669292,16.547917,38.707899,,16.887667,3.057543,6.044394,1.995729,2.509917,1.473020,2,1,,,,,,,,,,,,,,,,,,,,,
1780369934.638489,,,TargetAcquire,2,,,,,,,,,,,,,,initial_acquire,,,,,,,,,,,,,,,,,,,,
1780369934.638489,,,UI_STATUS_SEND,2,,,,37.410673,217.410673,16.671518,,,,,,3,0,"internal_id=2,ui_id=1",2,1,2,1,-1,25.150000,mono,,,,,,,,,,,,,
1780369934.956598,,,MATCH_ACCEPT,2,0,34.083354,16.158333,36.702306,,16.509433,2.642381,7.139851,2.093234,3.006136,1.375492,3,1,,,,,,,,,,,,,,,,,,,,,
1780369934.956598,,,UI_STATUS_SEND,2,,,,35.851743,215.851743,16.345057,,,,,,4,0,"internal_id=2,ui_id=1",2,1,2,1,-1,25.150000,mono,,,,,,,,,,,,,
1780369935.223128,,,MATCH_ACCEPT,2,0,31.681661,15.496042,34.869926,,16.118090,3.248380,7.446463,2.297642,3.711728,1.567431,4,1,,,,,,,,,,,,,,,,,,,,,
1780369935.223128,,,UI_STATUS_SEND,2,,,,33.681982,213.681982,15.806576,,,,,,5,0,"internal_id=2,ui_id=1",2,1,2,1,-1,47.250000,mono,,,,,,,,,,,,,
1780369935.482994,,,BBOX_CLIPPED,,0,,,,,,,,,,,,,bbox_out_of_image_bounds,,,,,,,,,,,1454.000,1939.000,1574.000,2183.000,1454.000,1939.000,1574.000,2160.000,1,0.905738
1780369935.483499,,,MATCH_ACCEPT,2,0,30.136740,14.556458,32.386731,,15.480802,2.432462,7.460221,2.306814,3.850580,1.470812,5,1,,,,,,,,,,,,,,,,,,,,,
1780369935.482994,,,UI_STATUS_SEND,2,,,,31.528981,211.528981,15.032600,,,,,,6,0,"internal_id=2,ui_id=1",2,1,2,1,-1,51.980000,mono,,,,,,,,,,,,,
1780369937.213593,,,BBOX_REJECT,,0,,,,,,,,,,,,,invalid_clipped_bbox,,,,,,,,,,,2258.000,2217.000,2506.000,2397.000,,,,,,
1780369937.213593,,,TargetLost,2,,,,,,,,,,,,,,not_in_valid_tracks,,,,,,,,,,,,,,,,,,,,
1780369937.601331,,,BBOX_CLIPPED,,0,,,,,,,,,,,,,bbox_out_of_image_bounds,,,,,,,,,,,1917.000,2138.000,2049.000,2230.000,1917.000,2138.000,2049.000,2160.000,1,0.239130
1780369937.601331,,,MATCH_ACCEPT,2,0,19.979209,14.100417,20.120312,,11.619301,2.485125,12.972453,6.008035,23.701102,12.395383,6,9,,,,,,,,,,,,,,,,,,,,,
1780369937.601331,,,UI_STATUS_SEND,2,,,,20.008137,200.008137,13.828124,,,,,,7,0,"internal_id=2,ui_id=1",2,1,2,1,-1,47.250000,mono,,,,,,,,,,,,,
1780369937.867722,,,BBOX_CLIPPED,,0,,,,,,,,,,,,,bbox_out_of_image_bounds,,,,,,,,,,,1596.000,2005.000,1716.000,2249.000,1596.000,2005.000,1716.000,2160.000,1,0.635246
1780369937.867722,,,MATCH_ACCEPT,2,0,18.488975,14.405208,18.510849,,13.633194,0.772324,8.181738,2.787826,5.978310,1.793661,7,1,,,,,,,,,,,,,,,,,,,,,
1780369937.867722,,,UI_STATUS_SEND,2,,,,18.500155,198.500155,14.045788,,,,,,8,0,"internal_id=2,ui_id=1",2,1,2,1,-1,51.980000,mono,,,,,,,,,,,,,
