[Log] stdout/stderr -> logs\20260602_111208\main_tracking_v9_20260602_111208.log
[FieldLog] enabled: C:\Users\cv1124\dym\gimbal\logs\20260602_111208
[Config] DEVICE_HEADING_DEG=180.00 (map north=0, east=90, south=180)
[Config] UI_REAL_LASER_ONLY=True
[GPS] Thread started, periodic UI updates enabled on COM12@115200, fix_timeout=5s, ui_interval=10.0s
[Init] Connecting to Gimbal at COM14...
[GT06Z] Driver Ready on COM14.
[Adapter] GT06Z 云台已连接: COM14
[GPS] GGA fix_quality=1, num_sats=28, hdop=0.5, lat=30.408105668, lon=104.0886395945
[LaserThread] 激光读取线程已启动
[Init] Real laser enabled on COM15
[Laser] start_measurement mode=continuous
[Init] UI distance priority: laser -> mono; UDP distance disabled
[Init] Queue gimbal initial posture: Az=59.30°, El=0.00°
[GimbalThread] 控制线程已启动
[Net] Listening RK3588 on 8888...
=== System V9.0 (Predictive Tracking & Scheduling) Running ===
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=, meas=0, tracks=0, valid=0, master=None
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=, meas=0, tracks=0, valid=0, master=None
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=, meas=0, tracks=0, valid=0, master=None
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.04s, meas=0, tracks=0, valid=0, master=None
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.13s, meas=1, tracks=2, valid=0, master=None
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.29s, meas=1, tracks=2, valid=1, master=2
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.29s, meas=1, tracks=2, valid=1, master=2
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.18s, meas=0, tracks=2, valid=0, master=2
[LIVE] udp=4.0/s, objs=4.0/s, last_udp=0.10s, meas=1, tracks=2, valid=1, master=2
[GPS] GGA fix_quality=1, num_sats=28, hdop=0.5, lat=30.4081056035, lon=104.08863918733333
[LIVE] udp=6.0/s, objs=6.0/s, last_udp=0.24s, meas=3, tracks=4, valid=1, master=2
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.11s, meas=3, tracks=4, valid=1, master=2
[LIVE] udp=6.0/s, objs=6.0/s, last_udp=0.03s, meas=1, tracks=5, valid=1, master=5
[LIVE] udp=5.0/s, objs=6.0/s, last_udp=0.11s, meas=3, tracks=6, valid=2, master=5
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.62s, meas=1, tracks=6, valid=1, master=2
[LIVE] udp=4.0/s, objs=4.0/s, last_udp=0.18s, meas=2, tracks=6, valid=1, master=2
[LIVE] udp=4.0/s, objs=4.0/s, last_udp=0.28s, meas=2, tracks=6, valid=2, master=2
[LIVE] udp=3.0/s, objs=3.0/s, last_udp=0.53s, meas=1, tracks=6, valid=1, master=6
[LIVE] udp=9.0/s, objs=9.0/s, last_udp=0.06s, meas=2, tracks=7, valid=1, master=3
[LIVE] udp=7.0/s, objs=7.0/s, last_udp=0.04s, meas=1, tracks=8, valid=0, master=3
[GPS] GGA fix_quality=1, num_sats=28, hdop=0.5, lat=30.408105598833334, lon=104.08863943683333
[LIVE] udp=3.0/s, objs=4.0/s, last_udp=0.69s, meas=1, tracks=9, valid=0, master=3
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.69s, meas=1, tracks=9, valid=0, master=3
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.91s, meas=1, tracks=9, valid=0, master=3
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.92s, meas=1, tracks=9, valid=0, master=3
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.92s, meas=1, tracks=9, valid=0, master=3
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.70s, meas=1, tracks=8, valid=0, master=3
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=1.70s, meas=1, tracks=8, valid=0, master=3
[LIVE] udp=0.0/s, objs=0.0/s, last_udp=2.70s, meas=1, tracks=8, valid=0, master=3
[LIVE] udp=2.0/s, objs=2.0/s, last_udp=0.35s, meas=1, tracks=8, valid=0, master=3
[LIVE] udp=1.0/s, objs=1.0/s, last_udp=0.69s, meas=1, tracks=8, valid=1, master=10
