timestamp,seq,mode,board,cam,meas_idx,raw_bbox_x1,raw_bbox_y1,raw_bbox_x2,raw_bbox_y2,raw_bbox_w,raw_bbox_h,clipped_bbox_x1,clipped_bbox_y1,clipped_bbox_x2,clipped_bbox_y2,clipped_bbox_w,clipped_bbox_h,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_cx,bbox_cy,bbox_w,bbox_h,is_edge_bbox,visible_ratio,mono_dist,meas_az,meas_el
1780454063.573722,,,BOARD_1,1,0,1841.000,1747.000,2077.000,2223.000,236.000,476.000,1841.000,1747.000,2077.000,2160.000,236.000,413.000,1841.000,1747.000,2077.000,2160.000,1959.000,1953.500,236.000,413.000,1,0.867647,26.430000,16.965134,-4.003542
1780454068.324077,,,BOARD_1,2,0,2485.000,1821.000,2721.000,2297.000,236.000,476.000,2485.000,1821.000,2721.000,2160.000,236.000,339.000,2485.000,1821.000,2721.000,2160.000,2603.000,1990.500,236.000,339.000,1,0.712185,26.430000,3.112630,-4.173125
1780454068.324077,,,BOARD_1,2,1,2490.000,1848.000,2726.000,2324.000,236.000,476.000,2490.000,1848.000,2726.000,2160.000,236.000,312.000,2490.000,1848.000,2726.000,2160.000,2608.000,2004.000,236.000,312.000,1,0.655462,26.430000,3.135417,-4.235000
1780454145.286962,,,BOARD_1,3,0,2330.000,1727.000,2566.000,2203.000,236.000,476.000,2330.000,1727.000,2566.000,2160.000,236.000,433.000,2330.000,1727.000,2566.000,2160.000,2448.000,1943.500,236.000,433.000,1,0.909664,26.430000,346.248350,-3.957708
1780454145.286962,,,BOARD_1,3,1,2327.000,1731.000,2563.000,2207.000,236.000,476.000,2327.000,1731.000,2563.000,2160.000,236.000,429.000,2327.000,1731.000,2563.000,2160.000,2445.000,1945.500,236.000,429.000,1,0.901261,26.430000,346.234678,-3.966875
1780454163.925510,,,BOARD_1,4,0,3399.000,1380.000,3863.000,1740.000,464.000,360.000,3399.000,1380.000,3840.000,1740.000,441.000,360.000,3399.000,1380.000,3840.000,1740.000,3619.500,1560.000,441.000,360.000,1,0.950431,13.440000,334.415217,-2.200000
1780454163.925510,,,BOARD_1,4,1,3399.000,1380.000,3863.000,1740.000,464.000,360.000,3399.000,1380.000,3840.000,1740.000,441.000,360.000,3399.000,1380.000,3840.000,1740.000,3619.500,1560.000,441.000,360.000,1,0.950431,13.440000,334.415217,-2.200000
1780454192.860421,,,BOARD_1,1,0,-14.000,1821.000,222.000,2297.000,236.000,476.000,0.000,1821.000,222.000,2160.000,222.000,339.000,0.000,1821.000,222.000,2160.000,111.000,1990.500,222.000,339.000,1,0.669937,26.430000,8.543259,-4.173125
1780454228.106239,,,BOARD_1,4,0,3407.000,1381.000,3871.000,1741.000,464.000,360.000,3407.000,1381.000,3840.000,1741.000,433.000,360.000,3407.000,1381.000,3840.000,1741.000,3623.500,1561.000,433.000,360.000,1,0.933190,13.440000,334.433446,-2.204583
1780454228.106239,,,BOARD_1,4,1,3431.000,1397.000,3895.000,1757.000,464.000,360.000,3431.000,1397.000,3840.000,1757.000,409.000,360.000,3431.000,1397.000,3840.000,1757.000,3635.500,1577.000,409.000,360.000,1,0.881466,13.440000,334.488134,-2.277917
1780454261.369195,,,BOARD_1,2,0,3354.000,1502.000,3590.000,1978.000,236.000,476.000,3354.000,1502.000,3590.000,1978.000,236.000,476.000,3354.000,1502.000,3590.000,1978.000,3472.000,1740.000,236.000,476.000,0,1.000000,26.430000,7.072917,-3.025000
1780454265.871783,,,BOARD_1,2,0,3361.000,1493.000,3597.000,1969.000,236.000,476.000,3361.000,1493.000,3597.000,1969.000,236.000,476.000,3361.000,1493.000,3597.000,1969.000,3479.000,1731.000,236.000,476.000,0,1.000000,26.430000,7.104818,-2.983750
1780454266.130787,,,BOARD_1,2,0,3362.000,1495.000,3598.000,1971.000,236.000,476.000,3362.000,1495.000,3598.000,1971.000,236.000,476.000,3362.000,1495.000,3598.000,1971.000,3480.000,1733.000,236.000,476.000,0,1.000000,26.430000,7.109375,-2.992917
1780454266.672346,,,BOARD_1,4,0,3137.000,1306.000,3373.000,1782.000,236.000,476.000,3137.000,1306.000,3373.000,1782.000,236.000,476.000,3137.000,1306.000,3373.000,1782.000,3255.000,1544.000,236.000,476.000,0,1.000000,26.430000,332.754084,-2.126667
1780454272.103843,,,BOARD_1,4,0,3403.000,1380.000,3867.000,1740.000,464.000,360.000,3403.000,1380.000,3840.000,1740.000,437.000,360.000,3403.000,1380.000,3840.000,1740.000,3621.500,1560.000,437.000,360.000,1,0.941810,13.440000,334.424332,-2.200000
1780454282.741244,,,BOARD_2,1,0,1093.000,1678.000,1329.000,2154.000,236.000,476.000,1093.000,1678.000,1329.000,2154.000,236.000,476.000,1093.000,1678.000,1329.000,2154.000,1211.000,1916.000,236.000,476.000,0,1.000000,26.430000,12.328180,5.668333
1780454283.228366,,,BOARD_2,1,0,1065.000,1711.000,1301.000,2187.000,236.000,476.000,1065.000,1711.000,1301.000,2160.000,236.000,449.000,1065.000,1711.000,1301.000,2160.000,1183.000,1935.500,236.000,449.000,1,0.943277,26.430000,12.200576,5.578958
1780454283.537925,,,BOARD_2,1,0,1026.000,1773.000,1262.000,2249.000,236.000,476.000,1026.000,1773.000,1262.000,2160.000,236.000,387.000,1026.000,1773.000,1262.000,2160.000,1144.000,1966.500,236.000,387.000,1,0.813025,26.430000,12.022842,5.436875
1780454283.537925,,,BOARD_2,1,1,1011.000,1794.000,1247.000,2270.000,236.000,476.000,1011.000,1794.000,1247.000,2160.000,236.000,366.000,1011.000,1794.000,1247.000,2160.000,1129.000,1977.000,236.000,366.000,1,0.768908,26.430000,11.954482,5.388750
1780454283.961252,,,BOARD_2,1,0,1023.000,1847.000,1259.000,2323.000,236.000,476.000,1023.000,1847.000,1259.000,2160.000,236.000,313.000,1023.000,1847.000,1259.000,2160.000,1141.000,2003.500,236.000,313.000,1,0.657563,26.430000,12.009170,5.267292
1780454283.961252,,,BOARD_2,1,1,1016.000,1870.000,1252.000,2346.000,236.000,476.000,1016.000,1870.000,1252.000,2160.000,236.000,290.000,1016.000,1870.000,1252.000,2160.000,1134.000,2015.000,236.000,290.000,1,0.609244,26.430000,11.977269,5.214583
1780454284.449659,,,BOARD_2,1,0,969.000,1947.000,1205.000,2423.000,236.000,476.000,969.000,1947.000,1205.000,2160.000,236.000,213.000,969.000,1947.000,1205.000,2160.000,1087.000,2053.500,236.000,213.000,1,0.447479,26.430000,11.763076,5.038125
1780454284.449659,,,BOARD_2,1,1,956.000,1976.000,1192.000,2452.000,236.000,476.000,956.000,1976.000,1192.000,2160.000,236.000,184.000,956.000,1976.000,1192.000,2160.000,1074.000,2068.000,236.000,184.000,1,0.386555,26.430000,11.703831,4.971667
