timestamp,seq,mode,dt,raw_meas_count,fused_meas_count,fusion_groups,meas_count,track_count,valid_count,track_ids,valid_ids,master_id,hit_streaks,time_since_updates,track_states,cmd_az,cmd_el,gimbal_ui_az,gimbal_ui_el
1780454063.573722,,,0.250000,1,1,"0:n=1,raw=0,src=BOARD_1/1",1,1,0,1,,,1,0,"1:16.9651,-4.0035,0.0000,0.0000",,,359.900000,-0.000000
1780454068.324077,,,0.250000,2,1,"0:n=2,raw=0,1,src=BOARD_1/2,BOARD_1/2",1,1,0,1,,,2,0,"1:3.4538,-4.2028,-3.0373,-0.0448",,,359.900000,-0.000000
1780454145.286962,,,0.250000,2,1,"0:n=2,raw=0,1,src=BOARD_1/3,BOARD_1/3",1,1,0,2,,,1,0,"2:346.2415,-3.9623,0.0000,0.0000",,,359.900000,-0.000000
1780454163.925510,,,0.250000,2,1,"0:n=2,raw=0,1,src=BOARD_1/4,BOARD_1/4",1,1,0,3,,,1,0,"3:334.4152,-2.2000,0.0000,0.0000",,,359.900000,-0.000000
1780454192.860421,,,0.250000,1,1,"0:n=1,raw=0,src=BOARD_1/1",1,1,0,4,,,1,0,"4:8.5433,-4.1731,0.0000,0.0000",,,359.900000,-0.000000
1780454228.106239,,,0.250000,2,1,"0:n=2,raw=0,1,src=BOARD_1/4,BOARD_1/4",1,1,0,5,,,1,0,"5:334.4608,-2.2412,0.0000,0.0000",,,359.900000,-0.000000
1780454261.369195,,,0.250000,1,1,"0:n=1,raw=0,src=BOARD_1/2",1,1,0,6,,,1,0,"6:7.0729,-3.0250,0.0000,0.0000",,,359.900000,-0.000000
1780454265.871783,,,0.245759,1,1,"0:n=1,raw=0,src=BOARD_1/2",1,1,0,6,,,2,0,"6:7.1040,-2.9840,0.0073,0.0096",,,359.900000,-0.000000
1780454266.130787,,,0.250000,1,1,"0:n=1,raw=0,src=BOARD_1/2",1,1,1,6,6,6,3,0,"6:7.1077,-2.9878,0.0078,0.0070",,,359.900000,-0.000000
1780454266.672346,,,0.250000,1,1,"0:n=1,raw=0,src=BOARD_1/4",1,2,0,6;7,,6,2;1,2;0,"6:7.1112,-2.9846,0.0078,0.0070;7:332.7541,-2.1267,0.0000,0.0000",66.410026,-2.985699,0.900000,-0.000000
