timestamp,event,cmd_id,track_id,cmd_az,cmd_el,gimbal_ui_az,gimbal_ui_el,gimbal_ctrl_az,gimbal_ctrl_el,target_ctrl_az,target_ctrl_el,err_az,err_el,is_settled,settle_time,laser_valid,laser_dist,laser_source,laser_ts,laser_age,laser_interval
1780308442.116914,GIMBAL_CMD_SEND,0,-1,,,,,,,59.300000,0.000000,,,,,,,,,,
1780308442.116914,GIMBAL_ATT,0,-1,,,0.028192,-0.111434,59.328192,-0.111434,59.300000,0.000000,0.028192,0.111434,,,,,,,,
1780308442.116914,GIMBAL_SETTLED,0,-1,,,0.028192,-0.111434,59.328192,-0.111434,59.300000,0.000000,0.028192,0.111434,1,0.000000,,,,,,
1780308442.116914,LASER_TRIGGER,0,-1,,,0.028192,-0.111434,59.328192,-0.111434,59.300000,0.000000,0.028192,0.111434,1,0.000000,0,,mock_mono,,,
1780308443.124052,GIMBAL_CMD,1,1,66.230531,4.661394,359.952076,0.030901,,,66.230531,4.661394,,,,,,,,,,
1780308443.127058,GIMBAL_CMD_SEND,1,1,,,,,,,66.230531,4.661394,,,,,,,,,,
1780308443.127058,GIMBAL_ATT,1,1,,,0.829821,0.398948,60.129821,0.398948,66.230531,4.661394,6.100710,4.262446,,,,,,,,
1780308443.228820,GIMBAL_ATT,1,1,,,3.727579,2.320682,63.027579,2.320682,66.230531,4.661394,3.202952,2.340712,,,,,,,,
1780308443.331168,GIMBAL_ATT,1,1,,,6.804888,4.442066,66.104888,4.442066,66.230531,4.661394,0.125644,0.219328,,,,,,,,
1780308443.331168,GIMBAL_SETTLED,1,1,,,6.804888,4.442066,66.104888,4.442066,66.230531,4.661394,0.125644,0.219328,1,0.204109,,,,,,
1780308443.331168,LASER_TRIGGER,1,1,,,6.804888,4.442066,66.104888,4.442066,66.230531,4.661394,0.125644,0.219328,1,0.204109,1,300.000000,mock_mono,1780308443.124052,0.207116,
