timestamp,seq,mode,event,track_id,meas_idx,meas_az,meas_el,pred_az,pred_el,cost,dynamic_thresh,uncertainty,p_az,p_el,hit_streak,time_since_update,reason,distance,distance_source
1779611152.391463,0,static_single,NEW_TRACK,1,0,0.000000,0.000000,,,,,,1.000000,1.000000,1,0,,,
1779611152.457345,1,static_single,MATCH_ACCEPT,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,3.868179,1.478786,1.093404,1.093404,1,1,,,
1779611152.526384,2,static_single,MATCH_ACCEPT,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,3.169378,1.012919,0.691277,0.334727,2,1,,,
1779611152.525875,2,static_single,TargetAcquire,1,,,,,,,,,,,,,initial_acquire,,
1779611152.525875,2,static_single,UI_STATUS_SEND,1,,,,0.000000,0.000000,,,,,,3,0,,300.000000,mono
1779611152.593735,3,static_single,MATCH_ACCEPT,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,3.070065,0.946710,0.603979,0.292280,3,1,,,
1779611152.593735,3,static_single,UI_STATUS_SEND,1,,,,0.000000,0.000000,,,,,,4,0,,300.000000,laser
1779611152.660072,4,static_single,MATCH_ACCEPT,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,3.054459,0.936306,0.588777,0.287892,4,1,,,
1779611152.660072,4,static_single,UI_STATUS_SEND,1,,,,0.000000,0.000000,,,,,,5,0,,300.000000,laser
1779611152.725131,5,static_single,MATCH_ACCEPT,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,3.045472,0.930314,0.587127,0.278358,5,1,,,
1779611152.725131,5,static_single,UI_STATUS_SEND,1,,,,0.000000,0.000000,,,,,,6,0,,300.000000,laser
1779611152.791292,6,static_single,MATCH_ACCEPT,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,3.036316,0.924211,0.587066,0.267099,6,1,,,
1779611152.791292,6,static_single,UI_STATUS_SEND,1,,,,0.000000,0.000000,,,,,,7,0,,300.000000,laser
1779611152.855738,7,static_single,MATCH_ACCEPT,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,3.013673,0.909116,0.574656,0.251835,7,1,,,
1779611152.855738,7,static_single,UI_STATUS_SEND,1,,,,0.000000,0.000000,,,,,,8,0,,300.000000,laser
1779611152.927146,8,static_single,MATCH_ACCEPT,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,3.010085,0.906723,0.574975,0.247172,8,1,,,
1779611152.927146,8,static_single,UI_STATUS_SEND,1,,,,0.000000,0.000000,,,,,,9,0,,300.000000,laser
1779611152.992776,9,static_single,MATCH_ACCEPT,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.979274,0.886182,0.551818,0.233502,9,1,,,
1779611152.992776,9,static_single,UI_STATUS_SEND,1,,,,0.000000,0.000000,,,,,,10,0,,300.000000,laser
1779611153.059711,10,static_single,MATCH_ACCEPT,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.955647,0.870431,0.532658,0.224993,10,1,,,
1779611153.059711,10,static_single,UI_STATUS_SEND,1,,,,0.000000,0.000000,,,,,,11,0,,300.000000,laser
1779611153.125179,11,static_single,MATCH_ACCEPT,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.930645,0.853764,0.511704,0.217208,11,1,,,
1779611153.125179,11,static_single,UI_STATUS_SEND,1,,,,0.000000,0.000000,,,,,,12,0,,300.000000,laser
1779611153.189827,12,static_single,MATCH_ACCEPT,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.908123,0.838749,0.492411,0.211089,12,1,,,
1779611153.189827,12,static_single,UI_STATUS_SEND,1,,,,0.000000,0.000000,,,,,,13,0,,300.000000,laser
1779611153.255906,13,static_single,MATCH_ACCEPT,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.892979,0.828653,0.478737,0.207928,13,1,,,
1779611153.255906,13,static_single,UI_STATUS_SEND,1,,,,0.000000,0.000000,,,,,,14,0,,300.000000,laser
1779611153.327079,14,static_single,MATCH_ACCEPT,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.890089,0.826726,0.474394,0.209082,14,1,,,
1779611153.327079,14,static_single,UI_STATUS_SEND,1,,,,0.000000,0.000000,,,,,,15,0,,300.000000,laser
1779611153.399624,15,static_single,MATCH_ACCEPT,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.975168,0.883445,0.520663,0.259813,15,2,,,
1779611153.399624,15,static_single,UI_STATUS_SEND,1,,,,0.000000,0.000000,,,,,,16,0,,300.000000,laser
1779611153.459769,16,static_single,MATCH_ACCEPT,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.892407,0.828271,0.471887,0.214146,16,1,,,
1779611153.459769,16,static_single,UI_STATUS_SEND,1,,,,0.000000,0.000000,,,,,,17,0,,300.000000,laser
1779611153.524952,17,static_single,MATCH_ACCEPT,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.863954,0.809303,0.451390,0.203581,17,1,,,
1779611153.524952,17,static_single,UI_STATUS_SEND,1,,,,0.000000,0.000000,,,,,,18,0,,300.000000,laser
1779611153.591497,18,static_single,MATCH_ACCEPT,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.853472,0.802314,0.441747,0.201962,18,1,,,
1779611153.591497,18,static_single,UI_STATUS_SEND,1,,,,0.000000,0.000000,,,,,,19,0,,300.000000,laser
1779611153.657912,19,static_single,MATCH_ACCEPT,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.848235,0.798823,0.436159,0.201960,19,1,,,
1779611153.657912,19,static_single,UI_STATUS_SEND,1,,,,0.000000,0.000000,,,,,,20,0,,300.000000,laser
1779611153.723453,20,static_single,MATCH_ACCEPT,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.843490,0.795660,0.431641,0.201434,20,1,,,
1779611153.723453,20,static_single,UI_STATUS_SEND,1,,,,0.000000,0.000000,,,,,,21,0,,300.000000,laser
1779611153.790280,21,static_single,MATCH_ACCEPT,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.842336,0.794890,0.430074,0.201777,21,1,,,
1779611153.790280,21,static_single,UI_STATUS_SEND,1,,,,0.000000,0.000000,,,,,,22,0,,300.000000,laser
1779611153.857176,22,static_single,MATCH_ACCEPT,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.841054,0.794036,0.428817,0.201676,22,1,,,
1779611153.857176,22,static_single,UI_STATUS_SEND,1,,,,0.000000,0.000000,,,,,,23,0,,300.000000,laser
1779611153.923799,23,static_single,MATCH_ACCEPT,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.839006,0.792670,0.427231,0.201095,23,1,,,
1779611153.923799,23,static_single,UI_STATUS_SEND,1,,,,0.000000,0.000000,,,,,,24,0,,300.000000,laser
1779611153.990030,24,static_single,MATCH_ACCEPT,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.836310,0.790874,0.425251,0.200230,24,1,,,
1779611153.990030,24,static_single,UI_STATUS_SEND,1,,,,0.000000,0.000000,,,,,,25,0,,300.000000,laser
1779611154.055882,25,static_single,MATCH_ACCEPT,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.833330,0.788886,0.423049,0.199293,25,1,,,
1779611154.055882,25,static_single,UI_STATUS_SEND,1,,,,0.000000,0.000000,,,,,,26,0,,300.000000,laser
1779611154.122933,26,static_single,MATCH_ACCEPT,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.832967,0.788645,0.422577,0.199383,26,1,,,
1779611154.122933,26,static_single,TargetKeep,1,,,,,,,,,,,,,lock_timer_expired,,
1779611154.122933,26,static_single,UI_STATUS_SEND,1,,,,0.000000,0.000000,,,,,,27,0,,300.000000,laser
1779611154.192998,27,static_single,MATCH_ACCEPT,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.837420,0.791613,0.425433,0.201218,27,1,,,
1779611154.192998,27,static_single,UI_STATUS_SEND,1,,,,0.000000,0.000000,,,,,,28,0,,300.000000,laser
1779611154.259384,28,static_single,MATCH_ACCEPT,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.833477,0.788985,0.422830,0.199667,28,1,,,
1779611154.259384,28,static_single,UI_STATUS_SEND,1,,,,0.000000,0.000000,,,,,,29,0,,300.000000,laser
1779611154.325387,29,static_single,MATCH_ACCEPT,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.829886,0.786591,0.420283,0.198442,29,1,,,
1779611154.325387,29,static_single,UI_STATUS_SEND,1,,,,0.000000,0.000000,,,,,,30,0,,300.000000,laser
1779611154.390221,30,static_single,MATCH_ACCEPT,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.825388,0.783592,0.417016,0.197001,30,1,,,
1779611154.390221,30,static_single,UI_STATUS_SEND,1,,,,0.000000,0.000000,,,,,,31,0,,300.000000,laser
1779611154.460833,31,static_single,MATCH_ACCEPT,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.831994,0.787996,0.421127,0.199811,31,1,,,
1779611154.460833,31,static_single,UI_STATUS_SEND,1,,,,0.000000,0.000000,,,,,,32,0,,300.000000,laser
1779611154.525889,32,static_single,MATCH_ACCEPT,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.826771,0.784514,0.417645,0.197816,32,1,,,
1779611154.525889,32,static_single,UI_STATUS_SEND,1,,,,0.000000,0.000000,,,,,,33,0,,300.000000,laser
1779611154.592692,33,static_single,MATCH_ACCEPT,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.826148,0.784099,0.417047,0.197764,33,1,,,
1779611154.592692,33,static_single,UI_STATUS_SEND,1,,,,0.000000,0.000000,,,,,,34,0,,300.000000,laser_hold
1779611154.656125,34,static_single,MATCH_ACCEPT,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,2.820142,0.780095,0.412870,0.195678,34,1,,,
