timestamp,event,cmd_id,track_id,cmd_az,cmd_el,gimbal_ui_az,gimbal_ui_el,gimbal_ctrl_az,gimbal_ctrl_el,target_ctrl_az,target_ctrl_el,err_az,err_el,is_settled,settle_time
1779607628.363420,GIMBAL_CMD_SEND,0,-1,,,,,,,59.300000,0.000000,,,,
1779607628.363420,GIMBAL_ATT,0,-1,,,0.112644,-0.056034,59.412644,-0.056034,59.300000,0.000000,0.112644,0.056034,,
1779607628.363420,GIMBAL_SETTLED,0,-1,,,0.112644,-0.056034,59.412644,-0.056034,59.300000,0.000000,0.112644,0.056034,1,0.000000
1779607633.126502,GIMBAL_CMD,1,1,59.300000,0.000000,359.873947,-0.036860,,,59.300000,0.000000,,,,
1779607633.128516,GIMBAL_CMD_SEND,1,1,,,,,,,59.300000,0.000000,,,,
1779607633.128516,GIMBAL_ATT,1,1,,,359.997661,-0.063744,59.297661,-0.063744,59.300000,0.000000,0.002339,0.063744,,
1779607633.128516,GIMBAL_SETTLED,1,1,,,359.997661,-0.063744,59.297661,-0.063744,59.300000,0.000000,0.002339,0.063744,1,0.000000
1779607636.203694,GIMBAL_CMD,2,2,54.802634,0.275000,359.856358,0.001742,,,54.802634,0.275000,,,,
1779607636.203694,GIMBAL_CMD_SEND,2,2,,,,,,,54.802634,0.275000,,,,
1779607636.203694,GIMBAL_ATT,2,2,,,356.758370,0.277982,56.058370,0.277982,54.802634,0.275000,1.255737,0.002982,,
1779607636.245295,GIMBAL_SETTLED,2,2,,,355.519933,0.210972,54.819933,0.210972,54.802634,0.275000,0.017300,0.064028,1,0.041601
1779607636.340246,GIMBAL_CMD,3,2,55.070169,0.275000,355.519933,0.210972,,,55.070169,0.275000,,,,
1779607636.340246,GIMBAL_CMD_SEND,3,2,,,,,,,55.070169,0.275000,,,,
1779607636.340246,GIMBAL_ATT,3,2,,,355.751763,0.335415,55.051763,0.335415,55.070169,0.275000,0.018407,0.060415,,
1779607636.340246,GIMBAL_SETTLED,3,2,,,355.751763,0.335415,55.051763,0.335415,55.070169,0.275000,0.018407,0.060415,1,0.000000
1779607636.474390,GIMBAL_CMD,4,2,55.396518,0.275000,355.804982,0.242732,,,55.396518,0.275000,,,,
1779607636.474939,GIMBAL_CMD_SEND,4,2,,,,,,,55.396518,0.275000,,,,
1779607636.474939,GIMBAL_ATT,4,2,,,356.016022,0.207359,55.316022,0.207359,55.396518,0.275000,0.080496,0.067641,,
1779607636.474939,GIMBAL_SETTLED,4,2,,,356.016022,0.207359,55.316022,0.207359,55.396518,0.275000,0.080496,0.067641,1,0.000000
1779607636.607177,GIMBAL_CMD,5,2,55.712050,0.275000,356.215570,0.293331,,,55.712050,0.275000,,,,
1779607636.608282,GIMBAL_CMD_SEND,5,2,,,,,,,55.712050,0.275000,,,,
1779607636.608282,GIMBAL_ATT,5,2,,,356.410673,0.286957,55.710673,0.286957,55.712050,0.275000,0.001377,0.011957,,
1779607636.608282,GIMBAL_SETTLED,5,2,,,356.410673,0.286957,55.710673,0.286957,55.712050,0.275000,0.001377,0.011957,1,0.000000
1779607636.737988,GIMBAL_CMD,6,2,55.999078,0.275000,356.474462,0.151444,,,55.999078,0.275000,,,,
1779607636.737988,GIMBAL_CMD_SEND,6,2,,,,,,,55.999078,0.275000,,,,
1779607636.737988,GIMBAL_ATT,6,2,,,356.559107,0.261757,55.859107,0.261757,55.999078,0.275000,0.139971,0.013243,,
1779607636.737988,GIMBAL_SETTLED,6,2,,,356.559107,0.261757,55.859107,0.261757,55.999078,0.275000,0.139971,0.013243,1,0.000000
1779607636.874545,GIMBAL_CMD,7,2,56.267137,0.275000,356.632846,0.354393,,,56.267137,0.275000,,,,
1779607636.875103,GIMBAL_CMD_SEND,7,2,,,,,,,56.267137,0.275000,,,,
1779607636.875103,GIMBAL_ATT,7,2,,,356.933763,0.342464,56.233763,0.342464,56.267137,0.275000,0.033374,0.067464,,
1779607636.875103,GIMBAL_SETTLED,7,2,,,356.933763,0.342464,56.233763,0.342464,56.267137,0.275000,0.033374,0.067464,1,0.000000
1779607637.006107,GIMBAL_CMD,8,2,56.515115,0.275000,356.913168,0.311899,,,56.515115,0.275000,,,,
1779607637.006690,GIMBAL_CMD_SEND,8,2,,,,,,,56.515115,0.275000,,,,
1779607637.006690,GIMBAL_ATT,8,2,,,357.149811,0.376753,56.449811,0.376753,56.515115,0.275000,0.065303,0.101753,,
1779607637.006690,GIMBAL_SETTLED,8,2,,,357.149811,0.376753,56.449811,0.376753,56.515115,0.275000,0.065303,0.101753,1,0.000000
1779607637.138671,GIMBAL_CMD,9,2,56.754351,0.275000,357.219084,0.352617,,,56.754351,0.275000,,,,
1779607637.139190,GIMBAL_CMD_SEND,9,2,,,,,,,56.754351,0.275000,,,,
1779607637.139190,GIMBAL_ATT,9,2,,,357.489283,0.313722,56.789283,0.313722,56.754351,0.275000,0.034931,0.038722,,
1779607637.139190,GIMBAL_SETTLED,9,2,,,357.489283,0.313722,56.789283,0.313722,56.754351,0.275000,0.034931,0.038722,1,0.000000
1779607637.270722,GIMBAL_CMD,10,2,56.986790,0.275000,357.516582,0.135494,,,56.986790,0.275000,,,,
1779607637.271241,GIMBAL_CMD_SEND,10,2,,,,,,,56.986790,0.275000,,,,
1779607637.271241,GIMBAL_ATT,10,2,,,357.725140,0.325559,57.025140,0.325559,56.986790,0.275000,0.038350,0.050559,,
1779607637.271241,GIMBAL_SETTLED,10,2,,,357.725140,0.325559,57.025140,0.325559,56.986790,0.275000,0.038350,0.050559,1,0.000000
1779607637.404817,GIMBAL_CMD,11,2,57.216161,0.275000,357.965177,0.147539,,,57.216161,0.275000,,,,
1779607637.404817,GIMBAL_CMD_SEND,11,2,,,,,,,57.216161,0.275000,,,,
1779607637.404817,GIMBAL_ATT,11,2,,,357.943367,0.295392,57.243367,0.295392,57.216161,0.275000,0.027206,0.020392,,
1779607637.404817,GIMBAL_SETTLED,11,2,,,357.943367,0.295392,57.243367,0.295392,57.216161,0.275000,0.027206,0.020392,1,0.000000
1779607637.540058,GIMBAL_CMD,12,2,57.440040,0.275000,357.904708,0.304255,,,57.440040,0.275000,,,,
1779607637.540058,GIMBAL_CMD_SEND,12,2,,,,,,,57.440040,0.275000,,,,
1779607637.540058,GIMBAL_ATT,12,2,,,358.050225,0.254244,57.350225,0.254244,57.440040,0.275000,0.089816,0.020756,,
1779607637.540058,GIMBAL_SETTLED,12,2,,,358.050225,0.254244,57.350225,0.254244,57.440040,0.275000,0.089816,0.020756,1,0.000000
1779607637.673769,GIMBAL_CMD,13,2,57.660122,0.275000,358.067790,0.386494,,,57.660122,0.275000,,,,
1779607637.673769,GIMBAL_CMD_SEND,13,2,,,,,,,57.660122,0.275000,,,,
1779607637.673769,GIMBAL_ATT,13,2,,,358.357785,0.213954,57.657785,0.213954,57.660122,0.275000,0.002337,0.061046,,
1779607637.673769,GIMBAL_SETTLED,13,2,,,358.357785,0.213954,57.657785,0.213954,57.660122,0.275000,0.002337,0.061046,1,0.000000
1779607637.808892,GIMBAL_CMD,14,2,57.881059,0.275000,358.430714,0.395840,,,57.881059,0.275000,,,,
1779607637.810087,GIMBAL_CMD_SEND,14,2,,,,,,,57.881059,0.275000,,,,
1779607637.810087,GIMBAL_ATT,14,2,,,358.603746,0.162116,57.903746,0.162116,57.881059,0.275000,0.022687,0.112884,,
1779607637.810087,GIMBAL_SETTLED,14,2,,,358.603746,0.162116,57.903746,0.162116,57.881059,0.275000,0.022687,0.112884,1,0.000000
1779607637.937861,GIMBAL_CMD,15,2,58.093938,0.275000,358.543729,0.218017,,,58.093938,0.275000,,,,
1779607637.937861,GIMBAL_CMD_SEND,15,2,,,,,,,58.093938,0.275000,,,,
1779607637.937861,GIMBAL_ATT,15,2,,,358.794147,0.259721,58.094147,0.259721,58.093938,0.275000,0.000209,0.015279,,
1779607637.937861,GIMBAL_SETTLED,15,2,,,358.794147,0.259721,58.094147,0.259721,58.093938,0.275000,0.000209,0.015279,1,0.000000
1779607638.074241,GIMBAL_CMD,16,2,58.314608,0.275000,358.769871,0.420152,,,58.314608,0.275000,,,,
1779607638.074241,GIMBAL_CMD_SEND,16,2,,,,,,,58.314608,0.275000,,,,
1779607638.074241,GIMBAL_ATT,16,2,,,359.023842,0.346741,58.323842,0.346741,58.314608,0.275000,0.009234,0.071741,,
1779607638.074241,GIMBAL_SETTLED,16,2,,,359.023842,0.346741,58.323842,0.346741,58.314608,0.275000,0.009234,0.071741,1,0.000000
1779607638.204270,GIMBAL_CMD,17,2,58.525511,0.275000,359.001100,0.441245,,,58.525511,0.275000,,,,
1779607638.204786,GIMBAL_CMD_SEND,17,2,,,,,,,58.525511,0.275000,,,,
1779607638.204786,GIMBAL_ATT,17,2,,,359.205959,0.442679,58.505959,0.442679,58.525511,0.275000,0.019552,0.167679,,
1779607638.204786,GIMBAL_SETTLED,17,2,,,359.205959,0.442679,58.505959,0.442679,58.525511,0.275000,0.019552,0.167679,1,0.000000
1779607638.337326,GIMBAL_CMD,18,2,58.740637,0.275000,359.323114,0.237793,,,58.740637,0.275000,,,,
1779607638.337859,GIMBAL_CMD_SEND,18,2,,,,,,,58.740637,0.275000,,,,
