timestamp,event,cmd_id,track_id,cmd_az,cmd_el,gimbal_ui_az,gimbal_ui_el,gimbal_ctrl_az,gimbal_ctrl_el,target_ctrl_az,target_ctrl_el,err_az,err_el,is_settled,settle_time,laser_valid,laser_dist,laser_source,laser_ts,laser_age,laser_interval
1779612061.706588,GIMBAL_CMD_SEND,0,-1,,,,,,,59.300000,0.000000,,,,,,,,,,
1779612061.706588,GIMBAL_ATT,0,-1,,,359.987195,-0.046633,59.287195,-0.046633,59.300000,0.000000,0.012805,0.046633,,,,,,,,
1779612061.706588,GIMBAL_SETTLED,0,-1,,,359.987195,-0.046633,59.287195,-0.046633,59.300000,0.000000,0.012805,0.046633,1,0.000000,,,,,,
1779612061.706588,LASER_TRIGGER,0,-1,,,359.987195,-0.046633,59.287195,-0.046633,59.300000,0.000000,0.012805,0.046633,1,0.000000,0,,mock_mono,,,
1779612064.523523,GIMBAL_CMD,1,1,54.759298,0.275000,359.952532,0.088914,,,54.759298,0.275000,,,,,,,,,,
1779612064.524530,GIMBAL_CMD_SEND,1,1,,,,,,,54.759298,0.275000,,,,,,,,,,
1779612064.524530,GIMBAL_ATT,1,1,,,357.561351,0.262681,56.861351,0.262681,54.759298,0.275000,2.102053,0.012319,,,,,,,,
1779612064.586349,GIMBAL_SETTLED,1,1,,,355.603615,0.296113,54.903615,0.296113,54.759298,0.275000,0.144317,0.021113,1,0.061819,,,,,,
1779612064.586349,LASER_TRIGGER,1,1,,,355.603615,0.296113,54.903615,0.296113,54.759298,0.275000,0.144317,0.021113,1,0.061819,1,300.000000,mock_mono,1779612064.523523,0.062826,
1779612064.727508,GIMBAL_CMD,2,1,55.066702,0.275000,355.493833,0.315748,,,55.066702,0.275000,,,,,,,,,,
1779612064.728523,GIMBAL_CMD_SEND,2,1,,,,,,,55.066702,0.275000,,,,,,,,,,
1779612064.728523,GIMBAL_ATT,2,1,,,355.812969,0.243507,55.112969,0.243507,55.066702,0.275000,0.046267,0.031493,,,,,,,,
1779612064.728523,GIMBAL_SETTLED,2,1,,,355.812969,0.243507,55.112969,0.243507,55.066702,0.275000,0.046267,0.031493,1,0.000000,,,,,,
1779612064.728523,LASER_TRIGGER,2,1,,,355.812969,0.243507,55.112969,0.243507,55.066702,0.275000,0.046267,0.031493,1,0.000000,1,300.000000,mock_mono,1779612064.727508,0.001015,0.142175
1779612064.857605,GIMBAL_CMD,3,1,55.298125,0.275000,355.833057,0.209611,,,55.298125,0.275000,,,,,,,,,,
1779612064.858903,GIMBAL_CMD_SEND,3,1,,,,,,,55.298125,0.275000,,,,,,,,,,
1779612064.858903,GIMBAL_ATT,3,1,,,355.908166,0.167584,55.208166,0.167584,55.298125,0.275000,0.089959,0.107416,,,,,,,,
1779612064.858903,GIMBAL_SETTLED,3,1,,,355.908166,0.167584,55.208166,0.167584,55.298125,0.275000,0.089959,0.107416,1,0.000000,,,,,,
1779612064.858903,LASER_TRIGGER,3,1,,,355.908166,0.167584,55.208166,0.167584,55.298125,0.275000,0.089959,0.107416,1,0.000000,1,300.000000,mock_mono,1779612064.857605,0.001298,0.130380
1779612064.992126,GIMBAL_CMD,4,1,55.514857,0.275000,356.065398,0.353262,,,55.514857,0.275000,,,,,,,,,,
1779612064.992657,GIMBAL_CMD_SEND,4,1,,,,,,,55.514857,0.275000,,,,,,,,,,
1779612064.992657,GIMBAL_ATT,4,1,,,356.167542,0.288165,55.467542,0.288165,55.514857,0.275000,0.047315,0.013165,,,,,,,,
1779612064.992657,GIMBAL_SETTLED,4,1,,,356.167542,0.288165,55.467542,0.288165,55.514857,0.275000,0.047315,0.013165,1,0.000000,,,,,,
1779612064.992657,LASER_TRIGGER,4,1,,,356.167542,0.288165,55.467542,0.288165,55.514857,0.275000,0.047315,0.013165,1,0.000000,1,300.000000,mock_mono,1779612064.992126,0.000531,0.133754
1779612065.191688,GIMBAL_CMD,5,1,55.804209,0.275000,356.240162,0.311391,,,55.804209,0.275000,,,,,,,,,,
1779612065.191688,GIMBAL_CMD_SEND,5,1,,,,,,,55.804209,0.275000,,,,,,,,,,
1779612065.191688,GIMBAL_ATT,5,1,,,356.533919,0.306051,55.833919,0.306051,55.804209,0.275000,0.029710,0.031051,,,,,,,,
